지점명,일시,지점,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6,SPI9,SPI12,SPI18,SPI24,연도,월
추풍령,2020-04-30,135.0,-1.1786666666666668,-0.4456666666666667,0.018333333333333323,0.5963333333333334,0.4186666666666667,0.11566666666666667,0.994,0.3526666666666667,0.13066666666666665,0.125,2020,4
추풍령,2020-05-31,135.0,-0.3370967741935484,-0.8987096774193548,-0.6254838709677419,-0.2906451612903226,0.1270967741935484,0.06967741935483872,1.008709677419355,0.34903225806451615,-0.01,-0.001935483870967742,2020,5
추풍령,2020-06-30,135.0,0.365,-0.03766666666666666,-0.5143333333333333,-0.297,-0.06366666666666668,0.26233333333333336,1.4956666666666665,0.517,0.09433333333333334,0.224,2020,6
추풍령,2020-07-31,135.0,0.7596774193548387,0.7516129032258064,0.5312903225806451,0.27838709677419354,0.36258064516129035,0.47967741935483876,0.48193548387096774,1.0303225806451612,0.40419354838709676,0.5890322580645162,2020,7
추풍령,2020-08-31,135.0,1.572258064516129,1.7906451612903225,1.738064516129032,1.5538709677419356,1.3983870967741936,1.4212903225806452,1.5493548387096774,1.9,1.1096774193548387,1.6325806451612903,2020,8
추풍령,2020-09-30,135.0,1.0106666666666666,1.7973333333333334,2.0036666666666667,1.9673333333333334,1.8086666666666666,1.659,1.8326666666666667,2.3233333333333333,1.4356666666666666,1.5746666666666667,2020,9
추풍령,2020-10-31,135.0,-1.1761290322580646,0.6122580645161291,1.4983870967741937,1.7193548387096775,1.7306451612903226,1.5767741935483872,1.4825806451612904,1.5180645161290323,1.2951612903225806,1.1412903225806452,2020,10
추풍령,2020-11-30,135.0,-0.907,-1.4460000000000002,0.4533333333333333,1.4840000000000002,1.6686666666666667,1.6746666666666667,1.361,1.4716666666666667,1.3633333333333333,1.0430000000000001,2020,11
추풍령,2020-12-31,135.0,-1.1025806451612903,-1.0109677419354839,-1.661935483870968,0.3364516129032258,1.4416129032258065,1.6393548387096775,1.3080645161290323,1.4874193548387096,1.4254838709677418,1.0538709677419356,2020,12
추풍령,2021-01-31,135.0,-0.7561290322580646,-1.1106451612903225,-1.35,-1.8225806451612903,0.24516129032258063,1.3941935483870966,1.4419354838709677,1.3490322580645162,1.6858064516129032,1.058709677419355,2021,1
추풍령,2021-02-28,135.0,0.030714285714285715,-0.5639285714285714,-0.8653571428571428,-1.2464285714285714,-1.7307142857142856,0.20714285714285713,1.5914285714285714,1.2771428571428574,1.7685714285714287,1.0582142857142858,2021,2
추풍령,2021-03-31,135.0,0.7193548387096774,0.4103225806451613,0.029677419354838707,-0.3129032258064516,-0.7267741935483871,-1.292258064516129,1.6474193548387097,1.3138709677419356,1.937741935483871,1.1780645161290322,2021,3
추풍령,2021-04-30,135.0,0.08266666666666668,0.37899999999999995,0.22933333333333333,-0.06333333333333332,-0.2996666666666667,-0.6823333333333333,1.4753333333333332,1.496,1.411333333333333,1.2453333333333334,2021,4
추풍령,2021-05-31,135.0,0.019999999999999997,0.008064516129032258,0.19129032258064516,0.10483870967741937,-0.08064516129032258,-0.21903225806451612,0.25612903225806455,1.694193548387097,1.4370967741935485,1.3829032258064515,2021,5
추풍령,2021-06-30,135.0,0.8413333333333333,0.5763333333333333,0.45366666666666666,0.5820000000000001,0.509,0.35700000000000004,-0.5986666666666667,1.7486666666666666,1.555,1.5486666666666666,2021,6
추풍령,2021-07-31,135.0,-0.2541935483870968,0.07387096774193548,0.030967741935483867,-0.007096774193548388,0.08612903225806451,0.04419354838709677,-0.34580645161290324,1.0861290322580646,1.1303225806451613,1.5725806451612903,2021,7
추풍령,2021-08-31,135.0,-0.3690322580645161,-0.5877419354838709,-0.29870967741935484,-0.28774193548387095,-0.3151612903225806,-0.2267741935483871,-0.4196774193548387,-0.14677419354838708,0.8106451612903226,1.2670967741935484,2021,8
추풍령,2021-09-30,135.0,0.5873333333333334,0.099,-0.15866666666666665,0.03833333333333333,0.011666666666666665,-0.007333333333333334,-0.028666666666666667,-0.4696666666666667,0.8796666666666667,1.3956666666666666,2021,9
추풍령,2021-10-31,135.0,0.3022580645161291,0.5116129032258064,0.1164516129032258,-0.11387096774193547,0.02935483870967742,0.027096774193548386,0.03709677419354839,-0.21580645161290324,0.9619354838709677,0.9254838709677419,2021,10
추풍령,2021-11-30,135.0,-0.175,0.032,0.4373333333333333,0.027000000000000003,-0.19166666666666668,-0.023666666666666666,0.013666666666666666,-0.15066666666666664,1.0573333333333335,0.9423333333333334,2021,11
추풍령,2021-12-31,135.0,-0.3338709677419355,-0.41000000000000003,-0.15387096774193548,0.3635483870967742,-0.025806451612903226,-0.23741935483870968,-0.08870967741935484,-0.10580645161290324,1.0183870967741935,0.9625806451612903,2021,12
추풍령,2022-01-31,135.0,-1.7287096774193547,-1.1390322580645162,-0.9425806451612903,-0.4612903225806452,0.2170967741935484,-0.1435483870967742,-0.16032258064516128,-0.13516129032258065,0.7583870967741936,0.8274193548387097,2022,1
추풍령,2022-02-28,135.0,-1.6666666666666667,-2.414074074074074,-1.6948148148148148,-1.3574074074074074,-0.7503703703703705,0.09592592592592591,-0.2722222222222222,-0.2114814814814815,-0.1637037037037037,0.7233333333333334,2022,2
추풍령,2022-03-31,135.0,-0.7238709677419355,-1.5406451612903225,-2.0658064516129033,-1.6629032258064516,-1.498709677419355,-0.9390322580645161,-0.5593548387096774,-0.35903225806451616,-0.7787096774193548,0.6645161290322581,2022,3
추풍령,2022-04-30,135.0,0.05133333333333333,-0.364,-0.9700000000000001,-1.4026666666666665,-1.2823333333333333,-1.3099999999999998,-0.45233333333333337,-0.3906666666666666,-0.6196666666666667,0.7806666666666667,2022,4
추풍령,2022-05-31,135.0,-1.0812903225806452,-0.7351612903225806,-0.8677419354838709,-1.2629032258064516,-1.6083870967741936,-1.5416129032258064,-0.4696774193548387,-0.6480645161290323,-0.6674193548387097,0.7738709677419354,2022,5
추풍령,2022-06-30,135.0,-1.0986666666666667,-1.394,-1.1966666666666665,-1.3363333333333334,-1.6296666666666666,-1.875,-1.683,-1.059,-0.757,0.584,2022,6
추풍령,2022-07-31,135.0,-0.6616129032258065,-1.103225806451613,-1.3680645161290323,-1.3035483870967743,-1.379677419354839,-1.5616129032258064,-1.82,-1.1519354838709677,-0.9341935483870968,0.030967741935483878,2022,7
추풍령,2022-08-31,135.0,0.1842857142857143,-0.46964285714285714,-0.7374999999999999,-0.9425,-0.9446428571428571,-1.0382142857142858,-1.3210714285714287,-0.8378571428571429,-0.8271428571428572,-0.7182142857142857,2022,8
추풍령,2022-09-30,135.0,0.4110344827586207,0.33655172413793105,-0.14310344827586208,-0.3624137931034483,-0.5582758620689655,-0.566896551724138,-0.8389655172413792,-0.9393103448275862,-0.7034482758620689,-0.9951724137931034,2022,9
추풍령,2022-10-31,135.0,0.13483870967741934,0.2870967741935484,0.2670967741935484,-0.1803225806451613,-0.39096774193548384,-0.5780645161290323,-0.7416129032258064,-0.97,-0.6983870967741935,-0.8509677419354839,2022,10
추풍령,2022-11-30,135.0,-1.1751724137931034,-0.48586206896551726,0.04965517241379311,0.09241379310344829,-0.3506896551724138,-0.5613793103448276,-0.7831034482758621,-1.040344827586207,-0.853793103448276,-0.8662068965517242,2022,11
추풍령,2022-12-31,135.0,0.10612903225806451,-0.7183870967741935,-0.5080645161290323,0.02225806451612903,0.08548387096774193,-0.3664516129032258,-0.7519354838709676,-1.0006451612903227,-1.0080645161290323,-0.8164516129032258,2022,12
추풍령,2023-01-31,135.0,0.08000000000000002,0.041935483870967745,-0.7174193548387097,-0.517741935483871,0.001935483870967742,0.07838709677419356,-0.7429032258064516,-0.8964516129032257,-0.9238709677419356,-0.7558064516129032,2023,1
추풍령,2023-02-28,135.0,-0.4232142857142857,-0.32785714285714285,-0.2467857142857143,-0.8692857142857143,-0.7117857142857142,-0.0825,-0.6699999999999999,-0.875,-0.8189285714285715,-0.8042857142857143,2023,2
추풍령,2023-03-31,135.0,-1.3112903225806452,-1.463548387096774,-1.2203225806451612,-0.9758064516129032,-1.407741935483871,-1.1048387096774193,-0.6135483870967742,-0.9809677419354839,-1.2748387096774194,-0.9806451612903225,2023,3
추풍령,2023-04-30,135.0,-0.3526666666666667,-1.1380000000000001,-1.383,-1.3153333333333335,-1.0633333333333332,-1.469,-0.313,-1.1013333333333333,-1.4513333333333334,-1.07,2023,4
추풍령,2023-05-31,135.0,-0.005333333333333338,-0.3026666666666667,-0.7633333333333333,-0.9376666666666666,-0.9570000000000001,-0.8386666666666667,-0.5446666666666666,-0.9816666666666667,-1.3753333333333333,-1.1696666666666669,2023,5
추풍령,2023-06-30,135.0,0.8866666666666667,0.5609999999999999,0.313,-0.04200000000000001,-0.17866666666666664,-0.20633333333333334,-0.6083333333333333,-0.5056666666666667,-1.079,-1.134,2023,6
추풍령,2023-07-31,135.0,1.3980645161290324,1.552258064516129,1.4193548387096775,1.2980645161290323,1.1135483870967744,1.0351612903225809,0.8058064516129032,0.7100000000000001,-0.15774193548387097,-0.3125806451612903,2023,7
추풍령,2023-08-31,135.0,0.6874193548387096,1.5090322580645161,1.6038709677419354,1.4974193548387098,1.4219354838709677,1.2848387096774192,1.1558064516129032,1.0096774193548388,0.19870967741935483,0.1503225806451613,2023,8
추풍령,2023-09-30,135.0,0.23166666666666666,0.6086666666666666,1.337,1.4423333333333335,1.3476666666666666,1.2650000000000001,1.0770000000000002,0.8786666666666666,0.253,0.0073333333333333315,2023,9
추풍령,2023-10-31,135.0,0.5153333333333333,0.49933333333333335,0.7496666666666667,1.4206666666666665,1.5486666666666666,1.4589999999999999,1.1986666666666668,1.075,0.39266666666666666,0.12966666666666668,2023,10
추풍령,2023-11-30,135.0,-0.3453333333333333,0.30366666666666664,0.37933333333333336,0.6673333333333333,1.367,1.4803333333333335,1.1703333333333332,1.0763333333333334,0.48633333333333334,0.11033333333333334,2023,11
추풍령,2023-12-31,135.0,1.414516129032258,0.66,0.9470967741935483,0.704516129032258,0.9370967741935484,1.5809677419354837,1.4848387096774194,1.2996774193548386,0.7796774193548387,0.2793548387096774,2023,12
추풍령,2024-01-31,135.0,1.7012903225806453,2.253548387096774,1.4883870967741937,1.3729032258064517,0.9674193548387098,1.1406451612903226,1.7509677419354839,1.4767741935483871,1.2503225806451612,0.4658064516129032,2024,1
추풍령,2024-02-29,135.0,1.4675,2.080357142857143,2.36,1.740357142857143,1.7128571428571429,1.1685714285714286,2.0075,1.6421428571428573,1.4532142857142856,0.6360714285714285,2024,2
추풍령,2024-03-31,135.0,0.5666666666666667,1.532,1.9656666666666667,2.3873333333333333,1.927,1.799,1.9826666666666666,1.8593333333333333,1.4613333333333332,0.7646666666666667,2024,3
추풍령,2024-04-30,135.0,0.5751724137931035,0.8855172413793103,1.5103448275862068,1.9924137931034482,2.1831034482758622,1.8620689655172413,1.524137931034483,2.0406896551724136,1.6279310344827587,0.8520689655172414,2024,4
추풍령,2024-05-31,135.0,-0.10548387096774194,0.15354838709677418,0.4174193548387097,0.8974193548387097,1.339032258064516,1.6441935483870966,1.3054838709677419,2.1548387096774193,1.6438709677419354,1.0058064516129033,2024,5
추풍령,2024-06-30,135.0,-0.9036666666666666,-0.827,-0.46266666666666667,-0.17033333333333334,0.2996666666666667,0.7326666666666667,1.1729999999999998,1.8196666666666665,1.4826666666666668,0.9986666666666667,2024,6
추풍령,2024-07-31,135.0,1.0232258064516129,0.6619354838709677,0.5090322580645161,0.594516129032258,0.7312903225806452,0.9406451612903226,1.2683870967741935,1.4425806451612904,1.7016129032258065,1.6161290322580646,2024,7
추풍령,2024-08-31,135.0,-0.9729032258064516,0.4619354838709678,0.1764516129032258,0.10806451612903226,0.17258064516129032,0.26903225806451614,0.830967741935484,0.8703225806451613,1.4193548387096775,1.2719354838709678,2024,8
추풍령,2024-09-30,135.0,-1.125,-1.0983333333333334,-0.14766666666666667,-0.35233333333333333,-0.39666666666666667,-0.314,0.18000000000000002,0.43066666666666664,1.1553333333333335,0.8723333333333334,2024,9
추풍령,2024-10-31,135.0,1.0174193548387096,0.0796774193548387,-0.4609677419354839,0.2809677419354839,0.06999999999999999,0.012903225806451613,0.31,0.5693548387096774,1.380967741935484,1.1051612903225805,2024,10
추풍령,2024-11-30,135.0,0.23700000000000002,0.9626666666666667,0.06866666666666667,-0.4686666666666667,0.30333333333333334,0.07866666666666666,0.169,0.639,1.4976666666666667,1.1909999999999998,2024,11
추풍령,2024-12-31,135.0,-0.41000000000000003,-0.12903225806451613,0.815483870967742,-0.032903225806451615,-0.5812903225806452,0.24000000000000002,0.025806451612903226,0.4529032258064516,1.3683870967741936,1.1925806451612904,2024,12
춘천,2015-01-31,101.0,-0.04832258064516129,0.01819354838709677,-0.2855161290322581,-0.3807741935483871,-0.4248387096774194,-1.2543225806451612,-2.345774193548387,-2.597677419354839,-1.8125806451612902,-0.47122580645161294,2015,1
춘천,2015-02-28,101.0,0.4335714285714286,0.06792857142857142,0.10128571428571428,-0.05114285714285714,-0.2815714285714286,-0.3796785714285714,-1.9300714285714287,-2.5967142857142855,-2.05325,-0.5427500000000001,2015,2
춘천,2015-03-31,101.0,-0.4635161290322581,-0.1619032258064516,-0.31961290322580643,-0.2075483870967742,-0.31661290322580643,-0.44245161290322577,-1.8773548387096775,-2.7286774193548387,-2.5052903225806453,-0.6121935483870968,2015,3
춘천,2015-04-30,101.0,0.7682,0.44623333333333337,0.45263333333333333,0.3629,0.3045333333333333,0.20466666666666666,-1.2437666666666667,-2.207,-2.3912666666666667,-0.5377333333333333,2015,4
