"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-12-05 ~ 2025-12-04"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"108","경상남도 통영시 도산면 도선리","3**","답","자연환경보전","8m미만","202512","01","1279.00","5,000","","-","직거래","-"
"109","경상남도 거제시 장목면 율천리","산1*","임야","농림지역","-","202512","01","33.00","340","지분","-","직거래","-"
"110","경상남도 밀양시 상동면 고정리","1***","전","계획관리지역","8m미만","202512","01","179.00","4,650","","-","직거래","-"
"111","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","208.00","1,435","","-","직거래","-"
"112","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","8m미만","202512","01","1355.00","8,808","","-","직거래","-"
"113","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","-","202512","01","165.00","1,089","","-","직거래","-"
"114","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","-","202512","01","337.00","2,528","","-","직거래","-"
"115","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","8m미만","202512","01","1696.00","17,045","","-","직거래","-"
"116","경상남도 거제시 거제면 오수리","8**","주차장","자연환경보전","8m미만","202512","01","840.00","6,384","","-","직거래","-"
"117","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","-","202512","01","185.00","1,351","","-","직거래","-"
"118","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","8m미만","202512","01","962.00","7,215","","-","직거래","-"
"119","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","-","202512","01","258.00","1,819","","-","직거래","-"
"120","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","60.00","1,217","지분","-","직거래","-"
"121","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","8m미만","202512","01","1226.00","9,624","","-","직거래","-"
"122","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","152.00","3,111","지분","-","직거래","-"
"123","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","33.00","690","지분","-","직거래","-"
"124","경상남도 김해시 화목동","1***","답","개발제한구역","8m미만","202512","01","3036.00","39,400","","-","중개거래","경남 김해시"
"125","경상남도 김해시 화목동","1***","답","개발제한구역","8m미만","202512","01","3308.00","43,000","","-","중개거래","경남 김해시"
"126","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","-","202512","01","278.00","1,960","","-","직거래","-"
"127","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","-","202512","01","116.00","818","","-","직거래","-"
"128","경상남도 창원시 마산합포구 자산동","3*","대","제3종일반주거지역","8m미만","202512","01","106.00","10,264","","-","직거래","-"
"129","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","8m미만","202512","01","2390.00","16,850","","-","직거래","-"
"130","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","330.00","6,762","지분","-","직거래","-"
"131","경상남도 거제시 장목면 장목리","산3*","임야","계획관리지역","-","202512","01","99.00","2,029","지분","-","직거래","-"
"132","경상남도 하동군 옥종면 대곡리","5**","답","농림지역","8m미만","202512","01","1016.00","3,600","","-","중개거래","경남 하동군"
"133","경상남도 창녕군 창녕읍 퇴천리","7**","잡종지","농림지역","-","202512","01","143.69","350","지분","-","직거래","-"
"134","경상남도 거창군 웅양면 노현리","1***","전","계획관리지역","-","202512","01","429.25","150","지분","-","직거래","-"
"135","경상남도 거창군 웅양면 노현리","1***","전","계획관리지역","-","202512","01","145.25","50","지분","-","직거래","-"
"136","경상남도 합천군 삼가면 일부리","5**","전","계획관리지역","-","202512","01","177.00","500","","-","직거래","-"
"137","경상남도 합천군 삼가면 일부리","5**","전","계획관리지역","8m미만","202512","01","1720.00","4,000","","-","직거래","-"
"138","경상남도 산청군 신안면 청현리","3**","답","농림지역","8m미만","202512","01","1980.00","9,000","","-","직거래","-"
"139","경상남도 남해군 삼동면 동천리","산3**","임야","보전관리지역","12m미만","202512","01","210.00","700","","-","직거래","-"
"140","경상남도 산청군 금서면 특리","1*","도로","계획관리지역","8m미만","202512","01","47.00","140","지분","20251202","중개거래","경남 진주시"
"141","경상남도 산청군 금서면 특리","1*","도로","계획관리지역","8m미만","202512","01","47.00","140","지분","-","중개거래","경남 진주시"
"142","경상남도 산청군 금서면 특리","*","도로","계획관리지역","8m미만","202512","01","50.00","150","지분","20251202","중개거래","경남 진주시"
"143","경상남도 산청군 금서면 특리","*","도로","계획관리지역","8m미만","202512","01","50.00","150","지분","-","중개거래","경남 진주시"
"144","경상남도 산청군 금서면 특리","산1*","임야","계획관리지역","8m미만","202512","01","47.00","140","지분","20251202","중개거래","경남 진주시"
"145","경상남도 산청군 금서면 특리","산1*","임야","계획관리지역","8m미만","202512","01","47.00","140","지분","-","중개거래","경남 진주시"
"146","경상남도 산청군 금서면 특리","산1*","임야","계획관리지역","8m미만","202512","01","803.00","4,570","","20251202","중개거래","경남 진주시"
"147","경상남도 고성군 마암면 장산리","5*","답","농림지역","8m미만","202512","01","2311.00","6,990","","-","직거래","-"
"148","경상남도 산청군 금서면 특리","산1*","임야","계획관리지역","8m미만","202512","01","803.00","4,570","","-","중개거래","경남 진주시"
"149","경상남도 창녕군 창녕읍 송현리","5*","답","제1종일반주거지역","12m미만","202512","01","171.69","6,550","지분","-","직거래","-"
"150","경상남도 거창군 남상면 월평리","8**","답","농림지역","8m미만","202512","01","1100.00","4,662","","-","중개거래","경남 거창군"
"151","경상남도 창녕군 남지읍 월하리","7*","답","보전관리지역","8m미만","202512","01","846.00","1,300","","-","직거래","-"
"152","경상남도 창녕군 남지읍 월하리","산3*","임야","농림지역","-","202512","01","3300.00","190","지분","-","직거래","-"
"153","경상남도 창녕군 남지읍 월하리","산*","임야","농림지역","-","202512","01","3471.00","200","지분","-","직거래","-"
"154","경상남도 산청군 신안면 중촌리","7**","답","계획관리지역","-","202512","01","169.00","600","","-","직거래","-"
"155","경상남도 합천군 초계면 유하리","3**","답","농림지역","8m미만","202512","01","961.00","2,374","","-","직거래","-"
"156","경상남도 합천군 초계면 유하리","3**","답","농림지역","8m미만","202512","01","995.00","2,458","","-","직거래","-"
"157","경상남도 함양군 안의면 귀곡리","8**","잡종지","생산관리지역","-","202512","01","405.00","1,273","","-","직거래","-"
"158","경상남도 합천군 초계면 유하리","3**","답","농림지역","8m미만","202512","01","2443.00","6,034","","-","직거래","-"
"159","경상남도 하동군 옥종면 대곡리","5**","답","농림지역","8m미만","202512","01","1923.00","6,810","","-","중개거래","경남 하동군"
"160","경상남도 하동군 옥종면 대곡리","5**","답","농림지역","8m미만","202512","01","2521.00","9,040","","-","중개거래","경남 하동군"
"161","경상남도 하동군 옥종면 대곡리","5**","답","농림지역","8m미만","202512","01","1992.00","7,050","","-","중개거래","경남 하동군"
"162","경상남도 함양군 안의면 황곡리","산2**","임야","계획관리지역","8m미만","202511","30","4959.00","900","","-","직거래","-"
"163","경상남도 진주시 충무공동","1**","대","제1종일반주거지역","12m미만","202511","30","240.50","21,700","","-","중개거래","경남 진주시"
"164","경상남도 거제시 사등면 사등리","산4*","임야","보전관리지역","8m미만","202511","29","363.00","5,929","지분","-","직거래","-"
"165","경상남도 밀양시 무안면 웅동리","산2**","임야","농림지역","-","202511","29","32926.00","1,300","","-","직거래","-"
"166","경상남도 거제시 아주동","산9*","임야","자연녹지지역","-","202511","29","798.00","200","","-","중개거래","경남 사천시"
"167","경상남도 고성군 거류면 당동리","2*","대","계획관리지역","8m미만","202511","29","70.67","1,000","지분","-","직거래","-"
"168","경상남도 남해군 남면 죽전리","2**","답","계획관리지역","-","202511","28","721.00","1,940","","-","직거래","-"
"169","경상남도 거창군 남상면 월평리","1***","답","농림지역","8m미만","202511","28","1679.10","5,000","","-","직거래","-"
"170","경상남도 합천군 봉산면 노곡리","7**","답","보전관리지역","8m미만","202511","28","532.75","1,150","지분","-","직거래","-"
"171","경상남도 창녕군 부곡면 온정리","8*","대","계획관리지역","8m미만","202511","28","200.00","1,900","","-","직거래","-"
"172","경상남도 고성군 고성읍 월평리","산1**","임야","자연녹지지역","-","202511","28","590.00","3,000","","-","직거래","-"
"173","경상남도 창녕군 도천면 도천리","4**","답","생산녹지지역","-","202511","28","122.00","460","","-","직거래","-"
"174","경상남도 하동군 악양면 봉대리","4**","대","계획관리지역","12m미만","202511","28","85.70","1,568","","-","직거래","-"
