구분,2010년,,2011년,,2012년,,2013년,,2014년,
,평균,필지,평균,필지,평균,필지,평균,필지,평균,필지
,최소,최대,최소,최대,최소,최대,최소,최대,최소,최대
충청남도 금산군,"31,202","1,769","31,046","1,566","31,497","1,697","32,090","1,517","33,716",425
,"2,300","105,930","1,830","105,850",70,"104,810",900,"121,580","2,940","112,910"
충청남도 연기군,"61,723",865,"80,077",994,"94,958",599,-,-,-,-
,"3,020","183,490","1,470","252,530","6,500","305,620",-,-,-,-
충청남도 부여군,"14,767","2,155","14,707","1,896","15,346","1,852","17,562","2,037","17,179",561
,790,"35,190",970,"36,700","1,670","36,300","2,560","62,310","1,140","38,160"
충청남도 서천군,"21,683","1,253","24,002","1,324","18,549","1,157","20,944","1,298","19,079",397
,"1,910","73,000","3,750","73,630","2,830","47,690",740,"60,460","2,890","40,140"
충청남도 청양군,"14,621","1,143","16,555","1,215","19,066","1,143","19,343","1,019","17,358",289
,980,"37,780",580,"40,770","1,110","53,000","1,270","59,250","2,020","41,860"
충청남도 홍성군,"24,508","1,393","26,920","1,272","28,286","1,340","27,533","1,193","23,036",336
,"3,020","78,490","2,540","87,950","2,160","94,750","1,420","94,810","4,140","80,350"
충청남도 예산군,"30,950","1,838","31,316","1,898","31,940","1,811","29,526","1,636","23,286",485
,"2,820","100,000","2,680","104,930","4,340","102,700","1,540","99,720","6,040","60,910"
충청남도 태안군,"33,569","1,625","39,340","1,535","34,248","1,476","36,487","1,367","33,674",386
,"4,540","128,210","1,840","142,780","4,060","123,000","1,060","142,850","6,680","120,980"
충청남도 당진군,"80,390","2,384","59,137","2,013",-,-,-,-,-,-
,"3,020","306,670","2,980","226,720",-,-,-,-,-,-
전라북도 전주시 완산구,"93,964",247,"118,872",358,"114,647",316,"118,992",356,"122,240",88
,"5,040","298,140","14,040","354,940","3,240","372,430",840,"400,000","4,560","423,250"
